theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,a1,a2,a3,a4,a5,a6,a7,a8,d1,d2,d3,d4,d5,d6,d7,d8
0.5941326321892572,0.38611482398665997,0.6981498502611575,0.44059092540165673,0.7600620768345916,0.08525006758652243,0.8009292003761725,0.3099688784722333,1.0,0.5,0.0,0.2499999968169011,1.0,0.0,1.0,0.2499999968169011,0.5934547697671713,0.6698759533080041,0.4992840688136405,0.6352997134218381,0.0,0.7576370774641183,0.0,0.4683112921820014,0.0,0.671831939889694,0.5882952228257107,0.7276611741282913,0.0,0.0,0.8021932110537211,0.46763856653723584
0.2683660362766863,0.06128414252503056,0.7314826286229995,0.6128630974490713,0.5787084365066213,0.42051007736380597,0.737642308598099,0.7381148722880517,1.0,0.0,1.0,0.2499999968169011,0.0,0.5,0.5,0.0,0.5519936626631129,0.6072829004908297,0.7108439306035431,0.6354072317682362,0.5762422003875698,0.5307693941998,0.0,0.0,0.8271859711005026,0.4420979646301709,0.0,0.5447607923595542,0.7196687195079174,0.0,0.48669465841380594,0.0
0.5295171298792167,0.5590013677219593,0.5593362243846303,0.6154945392453764,0.7968116405891414,0.665169328593002,0.15777739110437672,0.7800847283832282,1.0,0.0,0.7500000031830989,0.2499999968169011,0.0,1.0,0.7500000031830989,0.2499999968169011,0.3692469579284156,0.8056609837636217,0.44822223195053035,0.0,0.7751302956412625,0.49426181652166173,0.0,0.6248446763761513,0.0,0.09194925817463297,0.6610524229189539,0.3558001193451114,0.4054829350938472,0.6427423715542542,0.32773275776541344,0.5035093998987372
0.28800107146707,0.017000413524002667,0.9268823998962212,0.3934542832785624,0.687696277026223,0.9713593594822394,0.5829955618085441,0.812039076257774,0.7500000031830989,1.0,0.7500000031830989,0.7500000031830989,1.0,0.5,0.0,0.2499999968169011,0.42749330135475055,0.49670931880649755,0.4166351936296589,0.4921590193462628,0.5966291439943053,0.0,0.0,0.6479672745101435,0.39443803432392405,0.5442704008327119,0.0,0.5603332766778188,0.5483672838923725,0.3951519838783093,0.34807163652080164,0.0
0.7599999337814504,0.6931245383767187,0.3376951312393505,0.83770115065486,0.7012715726375496,0.10534873308538234,0.5523735464969141,0.19146550774296484,0.0,0.7500000031830989,0.5,1.0,0.2499999968169011,0.2499999968169011,1.0,0.7500000031830989,0.3752788456858805,0.711075963685993,0.0,0.7016655567659871,0.6425442217220088,0.0,0.46940703367194886,0.4591390464881035,0.0,0.0,0.0,0.45833890429512675,0.5680620882799047,0.4091167884597789,0.4476591315753779,0.0
0.4716553905178475,0.22476788046987262,0.659994992523006,0.23109457086602736,0.4354888976511859,0.6028674004001325,0.19387310690528442,0.38878603113744997,0.0,0.0,0.7500000031830989,1.0,0.5,1.0,1.0,0.0,0.3773507399032795,0.5855795275600375,0.3645513146871073,0.44983913566627853,0.6009984184909573,0.0,0.0,0.3358097322464906,0.6232068529925848,0.0,0.7761972610266041,0.0,0.6209910928941518,0.0,0.0,0.0
0.8404526127006287,0.6549927011405052,0.8624403093939534,0.4152999060517731,0.7760744066301033,0.173978978713206,0.8618893762204645,0.7803690128555825,0.7500000031830989,0.0,0.5,0.2499999968169011,0.5,0.2499999968169011,0.2499999968169011,0.7500000031830989,0.388626171052523,0.0,0.0,0.45809846026778506,0.6573632771535102,0.0,0.5189524583055761,0.463853317791847,0.0,0.0,0.365825256726797,0.655905626113701,0.3667777707990811,0.0,0.6991323303608055,0.7311835329472348
0.2934206363360665,0.08978207128990728,0.3923047780339525,0.57722128785512,0.6626407017721241,0.9101176928718153,0.4364862071242176,0.639327895372054,0.2499999968169011,0.7500000031830989,0.7500000031830989,1.0,0.5,0.0,0.7500000031830989,1.0,0.0,0.0,0.4834506041665266,0.7560058547448384,0.0,0.0,0.0,0.3592634822656598,0.0,0.6882607562088017,0.0,0.0,0.7177217891828889,0.0,0.0,0.7820545673399374
0.21092801540650963,0.8480985205727316,0.33329451716286473,0.8834589260892117,0.6036518934806622,0.5976319535325625,0.21390131411443436,0.9743769484789524,0.0,1.0,0.2499999968169011,0.5,0.2499999968169011,0.7500000031830989,0.0,0.5,0.24259555305271466,0.4920170770027326,0.591089658844041,0.5023480030042483,0.48598674398521546,0.0,0.7140716167817972,0.5407689767037072,0.0,0.0,0.0,0.8046373705571365,0.0,0.42194610412615763,0.0,0.5345104747930001
0.7587753267646654,0.1139375043337526,0.11523738958600771,0.33571271409643344,0.41270654209320523,0.7432732850055208,0.6697095645575755,0.08961130730797034,0.0,0.5,0.5,0.5,0.0,0.7500000031830989,0.2499999968169011,0.5,0.5947242916596288,0.0,0.41948147725852997,0.6420148210763829,0.0,0.5156781264388582,0.0,0.0,0.5256894886528506,0.0,0.5450559228172764,0.5426827744731184,0.5141914097878045,0.7541991146190289,0.0,0.0
