frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness
0.0303030303030303,0.0,0.9999999999999999,1.0,0.039004721514947494
0.0404040404040404,0.0,0.9999999999999999,1.0,0.039004721514947494
0.05303030303030304,0.0,0.9999999999999999,1.0,0.039004721514947494
0.0707070707070707,0.0,0.9999999999999999,1.0,0.039004721514947494
0.09090909090909091,0.0,0.9999999999999999,1.0,0.039004721514947494
0.11616161616161617,0.0,0.9999999999999999,1.0,0.039004721514947494
0.14898989898989898,0.0,0.9999999999999999,1.0,0.039004721514947494
0.1919191919191919,0.0,0.9999999999999999,1.0,0.039004721514947494
0.24242424242424243,0.0,0.9999999999999999,1.0,0.039004721514947494
0.30808080808080807,0.0,0.9999999999999999,1.0,0.039004721514947494
0.3939393939393939,0.0,0.9999999999999999,1.0,0.039004721514947494
0.494949494949495,0.0,0.9999999999999999,1.0,0.039004721514947494
0.6212121212121212,0.0,0.9999999999999999,1.0,0.039004721514947494
0.797979797979798,0.0,0.9999999999999999,1.0,0.039004721514947494
0.015151515151515152,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.021717171717171715,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.0303030303030303,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.0404040404040404,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.05303030303030304,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.0707070707070707,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.09090909090909091,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.11616161616161617,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.14898989898989898,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.1919191919191919,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.24242424242424243,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.30808080808080807,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.3939393939393939,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.494949494949495,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.6212121212121212,0.0,0.9999999999999999,0.601010101010101,0.0418910896622408
0.0,0.0,0.9999999999999999,0.1994949494949496,0.046555235801832004
0.002525252525252526,0.0,0.9999999999999999,0.1994949494949496,0.046555235801832004
0.005808080808080807,0.0,0.9999999999999999,0.1994949494949496,0.046555235801832004
0.0101010101010101,0.0,0.9999999999999999,0.1994949494949496,0.046555235801832004
0.015151515151515152,0.0,0.9999999999999999,0.1994949494949496,0.046555235801832004
