season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.35516959600347203,0.37351737876240565,0.8286200514138817,0.28460620119145374,0.09653755868544601,0.09153912792376552
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3792320499775338,0.36054066910781774,0.7157706940874036,0.4662145544376673,0.037852112676056336,0.0938492636442391
0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.17099980237661438,0.14483010827663623,0.4496380462724936,0.46574039733952516,0.034624413145539906,0.17455963037828473
0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.17553043686730302,0.17464923767409474,0.6071311053984576,0.28429696830136103,0.031103286384976524,0.20704591394744443
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.20912018218234535,0.19715830273143586,0.44931311053984574,0.3391425136881939,0.023474178403755867,0.21628645682933872
0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.1809482583099637,0.20232877201420163,0.5329161953727506,0.13848170361759188,0.02523474178403756,0.21628645682933872
0.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.5,0.17119667813281042,0.17033985695428772,0.5127979434447301,0.3016758567245681,0.04284037558685446,0.19376263355472134
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.1319187187226103,0.10919075526917942,0.5509850899742931,0.5038688126879493,0.01936619718309859,0.1257580132832804
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098690327643624,0.04870584689635328,0.44644421593830336,0.7000172964263193,0.015258215962441314,0.10799884493213976
0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.11426594126672852,0.09427134580791631,0.4965727506426735,0.41411499711485716,0.011443661971830986,0.18192318798729426
0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.13701630554917993,0.14753282375092275,0.7057727506426734,0.20561987485138783,0.012030516431924883,0.17326017903551835
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.14154694003986856,0.10685295232614674,0.6164987146529562,0.5818429167011119,0.0067488262910798125,0.16127634998556165
0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.1319187187226103,0.09426478263289377,0.48371928020565547,0.5743656654186715,0.01056338028169014,0.19462893444989893
0.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.0,0.12677253598153654,0.14352797435216208,0.5530344473007712,0.2147236911357155,0.015258215962441314,0.19448455096736933
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2170649911792185,0.22189097148641734,0.512853470437018,0.27948736608412,0.06455399061032864,0.1452497834247762
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21498907339553114,0.20365190809874795,0.4974293059125964,0.3423028738249408,0.07306338028169015,0.1347097892001155
0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.5,0.14541716851293757,0.12824627762965418,0.5526992287917737,0.3538145835467899,0.03374413145539906,0.12460294542304359
0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.1962983370478057,0.20117890375025066,0.8860329048843186,0.25642271558840934,0.0020539906103286387,0.0944267975743575
0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.290383765674986,0.2879296385633262,0.7627136246786632,0.3832947857356228,0.022300469483568074,0.22408316488593705
0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.25237054609098203,0.23099803314770917,0.5535557840616966,0.3577047333041555,0.023767605633802816,0.2633554721339879
0.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.0,0.1474943323457148,0.10338759591423975,0.4700082262210797,0.6820652963801405,0.02142018779342723,0.2090672827028588
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41131105398457585,0.30836353336097194,0.0267018779342723,0.1253248628356916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046591395333247104,0.02595013772166467,0.44886580976863755,0.46221720394506954,0.04342723004694836,0.11781692174415247
0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.04767495962177924,0.051009521329268684,0.5056442159383033,0.2802439558885467,0.02464788732394366,0.1891423621137742
0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.2047851773987629,0.20405751231514158,0.6344030848329049,0.22141961398252175,0.0539906103286385,0.25685821542015597
0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.19733629593964935,0.1634629621656587,0.8868894601542416,0.5596255643242551,0.009389671361502348,0.06526133410337857
0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.16930019141806119,0.18459638573827314,0.7069408740359897,0.18851929602926415,0.003814553990610329,0.057175859081721056
0.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.5,0.17986419560179562,0.18934418654958657,0.815468380462725,0.2080277682889093,0.01056338028169014,0.16012128212532487
