Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.36363636363636365,1.0,0.0,0.0,1.0,0.8857142857142861,0.0
0.0,1.0,0.0,0.0,1.0,0.34285714285714164,0.0
0.0,0.0,0.0,0.0,0.0,0.9714285714285751,1.0
0.0,1.0,1.0,0.0,0.0,0.8285714285714292,0.0
0.0,0.0,0.0,0.0,0.0,0.1428571428571459,0.0
0.0,1.0,1.0,0.0,0.0,0.8285714285714292,0.0
0.0,1.0,0.0,0.0,0.0,0.4571428571428555,0.0
0.0,1.0,1.0,0.0,0.0,0.4285714285714306,0.0
0.0,0.0,0.0,0.0,0.0,0.8857142857142861,1.0
0.0,1.0,0.0,0.0,0.0,0.7428571428571473,0.0
0.0,1.0,0.0,0.0,1.0,0.5428571428571445,1.0
0.0,0.0,0.0,0.0,1.0,0.8857142857142861,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.7714285714285722,0.0
0.0,0.0,0.0,0.0,1.0,0.8857142857142861,0.0
0.0,0.0,0.0,0.0,0.0,0.5142857142857125,0.0
0.0,0.0,0.0,0.0,1.0,0.7714285714285722,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.37142857142857366,0.0
0.0,1.0,1.0,0.0,0.0,0.3999999999999986,0.0
0.0,1.0,0.0,0.0,0.0,0.6857142857142833,0.0
0.0,1.0,0.0,0.0,0.0,0.8857142857142861,0.0
0.0,1.0,0.0,0.0,0.0,0.6571428571428584,0.0
0.0,0.0,0.0,0.0,0.0,0.6571428571428584,0.0
0.0,0.0,0.0,0.0,1.0,0.5428571428571445,1.0
0.09090909090909091,1.0,0.0,0.0,0.0,0.7428571428571473,1.0
0.0,1.0,0.0,0.0,1.0,0.17142857142857082,0.0
0.0,0.0,0.0,0.0,0.0,0.37142857142857366,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,0.2857142857142847,0.0
0.0,0.0,0.0,0.0,0.0,0.6857142857142833,0.0
0.0,1.0,0.0,0.0,1.0,0.20000000000000284,0.0
0.0,0.0,0.0,0.0,1.0,0.6000000000000014,1.0
0.0,0.0,0.0,0.0,0.0,0.9142857142857181,0.0
