att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14
0.22925750876658024,0.3814578910120312,0.32289950576606263,0.35795454545454547,0.3603411513859275,0.3804523424878838,0.3862876254180601,0.41717641301688285,0.2915301824988301,0.27375201288244755,0.3145348837209302,0.5509702457956016,0.5630740393626991,0.4429572738796509,0.46552922590837276
0.1430096051227321,0.1564048124557679,0.16803953871499167,0.09446022727272729,0.09594882729211085,0.17851373182552505,0.21655518394648826,0.5588451186689503,0.540009358914366,0.8652710681696187,0.05232558139534882,0.9866752910737386,0.9928772258669166,0.505778838267094,0.6612322274881516
0.31234944351273053,0.20523708421797596,0.21169686985172986,0.2066761363636364,0.2082444918265814,0.197092084006462,0.2148829431438128,0.2721637713073974,0.1817969115582593,0.37895866881374096,0.19534883720930232,0.4501940491591203,0.5066541705716966,0.28077697412571767,0.49118483412322267
0.3888092697057477,0.6355272469922152,0.8574958813838549,0.5490056818181819,0.5472636815920398,0.7245557350565428,0.7408026755852841,0.04934344670092161,0.038839494618624265,0.03488996242619424,0.5593023255813954,0.07076326002587319,0.07516401124648553,0.04872865558123929,0.10609794628751976
0.7766885195914011,0.35739561217268234,0.47364085667215816,0.3174715909090909,0.3155650319829424,0.4192245557350565,0.47408026755852845,0.19253459478563462,0.13734206832007492,0.17069243156199665,0.29186046511627906,0.2804657179818887,0.2937207122774135,0.20274401610618153,0.3863507109004739
0.2913401433145295,0.1578202406227884,0.03706754530477763,0.17400568181818188,0.1670220326936745,0.1033925686591276,0.1011705685618729,0.8213033194682327,0.7508189050070192,0.8947933440687064,0.1674418604651163,0.8950840879689521,0.6905342080599813,0.8102304078741333,0.7780726698262244
0.14910809574630268,0.0792639773531493,0.1869851729818781,0.06605113636363641,0.06680881307746978,0.135702746365105,0.2073578595317726,0.48193458934834027,0.3930744033692093,0.468599033816425,0.04593023255813952,0.7298835705045277,0.7400187441424556,0.46976362687346196,0.5936176935229067
0.23875590791279144,0.5732484076433121,0.5428336079077429,0.5248579545454546,0.5259417199715707,0.5726978998384491,0.5969899665551841,0.013158252453579045,0.01591015442208707,0.20611916264090158,0.4279069767441861,0.03117723156532981,0.03486410496719783,0.008276787711580025,0.010742496050552927
0.9120902576612284,0.4359518754423213,0.5288303130148271,0.38991477272727276,0.38948116560056856,0.5113085621970921,0.5702341137123745,0.17064948481635533,0.12213383247543289,0.11164787976382162,0.33313953488372094,0.23260025873221213,0.24142455482661673,0.17873387517709338,0.35045813586097946
0.24198810794328396,0.20736022646850674,0.12932454695222406,0.18678977272727276,0.17626154939587774,0.1752827140549273,0.18060200668896326,0.9969823016067207,1.0,0.718196457326892,0.12499999999999997,0.9950840879689522,0.6354264292408623,0.9887778689135783,0.969036334913112
0.2318798597347156,0.34324133050247707,0.5016474464579901,0.26278409090909094,0.28926794598436384,0.36752827140549277,0.395484949832776,0.00497512437810943,0.00959288722508192,0.15942028985507228,0.35639534883720925,0.012160413971539441,0.01255857544517347,0.002162403996719131,0.004044233807266984
