theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
0.44497175195200167,0.761468018988286,0.7820216354406495,0.1661718690933015,0.02838443010118169,0.6850901386568979,0.22755781490895455,0.4791470798076987
0.8152275761222285,0.9151582419111037,0.8302683921674335,0.8973045890032112,0.015425876564331642,0.9507972824691244,0.24951622984291005,0.518863395411174
0.7958218993469628,0.8031534231636488,0.8410818675438145,0.6033754647431858,0.4150541993843234,0.6354215526261613,0.5810183757656568,0.8437468744373987
0.20826276627127893,0.8658146608639234,0.1604898245934268,0.09211405590315036,0.4590412172162313,0.7209251363116373,0.40795866494437266,0.348716102231735
0.4679445141272075,0.8197955164836098,0.32630334507238434,0.3828433329663581,0.2844611981017081,0.367710325301435,0.8852668861202551,0.1328047381862068
0.6342448157085464,0.4966291067000021,0.12630684715479684,0.6907393578287092,0.6039515376259466,0.5489528040189914,0.5385449393724738,0.01144539350416407
0.5409042240488303,0.9115935580843302,0.9658403697774534,0.01653139428924638,0.25804579737862515,0.5274873026956701,0.8241010042085086,0.1564723316863702
0.8672540711358432,0.22094987090365314,0.41940806317332174,0.8946979152711659,0.21017988984473296,0.27208471378270366,0.965265219384141,0.6021842264941023
0.7942243247315799,0.9547639817210403,0.9596615821028731,0.18904512601620088,0.42314045990540383,0.504880476607883,0.9321105046043585,0.3938942342955065
0.5713178319251756,0.00911266768853558,0.8669070722431846,0.5646138602567147,0.00918977664876025,0.17042615825096624,0.6619425809408725,0.882428003707334
0.47217057915926514,0.8394474686975206,0.35718667107433805,0.3409874640375323,0.8763525966193508,0.5179765282927564,0.0014825617734072205,0.9865142392297281
0.025460118467771575,0.8682925249419027,0.774806549743101,0.9254763493303586,0.45489858742506356,0.11198751812005614,0.6418575773990582,0.31715208737572764
0.24963416549408624,0.11164192607608159,0.7233864287939094,0.8759996869657029,0.977151723782935,0.18081826246967614,0.2948356181507562,0.1642520653717669
0.8773406510846105,0.723628693103234,0.315097742589514,0.0882915887949639,0.21795969181148045,0.9883837971147991,0.8651218800783367,0.5611893474158682
0.5309433914211676,0.5194759479409623,0.8131275559232152,0.8653355634816311,0.7622831507229504,0.8901370120319296,0.8963465144381015,0.34279003553973053
0.09927353066642902,0.30208492060163195,0.9863591236940814,0.8053783536783519,0.15636868635678353,0.1178143232809028,0.5580449185382724,0.7400298720436345
0.8214759445905306,0.9183953401076836,0.19239618315466517,0.24058303964261035,0.5409356988926631,0.7371581066424996,0.1929672069669569,0.12851729978062715
0.03604809596271519,0.7981599987682355,0.980810976163023,0.5757910416481521,0.849744564804973,0.4414178320453856,0.48648860369182045,0.14203306595187132
0.7005842209926929,0.3325602064692056,0.7854144104323851,0.17840859199560694,0.6723562709380179,0.9057685450682673,0.5726863619317472,0.8109451367912891
0.3165168840981105,0.07604579190507765,0.9285230285796455,0.9429242974303332,0.6719728660799997,0.465417488215331,0.7845210217092379,0.9693661525741301
0.07038268570810075,0.7908336549902122,0.9452860644181529,0.625076434751582,0.10843671113455466,0.7488464713910048,0.6088770365431893,0.03697582231468327
0.6550384882306874,0.9378041250304622,0.1382351520991535,0.12943464148951267,0.6455346467978929,0.24041175771442153,0.7203033459727488,0.7021580551165877
0.4797377027609231,0.006400131246625196,0.31390385085798367,0.024018219657227446,0.0789028624555635,0.5139290967244882,0.9881678403266803,0.5138083188307229
0.9567821844166704,0.7394481058170607,0.9864578187438879,0.4640980168746709,0.8015183363041682,0.13222388005849356,0.7016109004541856,0.5593631853733673
0.420297952175694,0.12169938894926774,0.6252442835137348,0.7187392145757258,0.15269463302185116,0.3851079668819496,0.23963165131880493,0.3912154187753796
0.0707639070170189,0.19710434478361027,0.9625035750424628,0.9423030039354778,0.2343155573220776,0.8043063122528722,0.5694362265094379,0.1832371493535503
0.8929033411646855,0.2564488443447942,0.5846578014457233,0.7141376104075945,0.8192027195477043,0.27056055972137033,0.3537280720030001,0.925904162749295
0.8475687790094295,0.409289309081024,0.3576719217358867,0.49267406895508886,0.03242490704090517,0.5753977392112709,0.9261777574065586,0.6940966040553966
0.5629606755761563,0.5663082161343089,0.3061804325920769,0.24164258115347836,0.34723372731609703,0.09265503657969748,0.7763106796116505,0.9839204390123556
0.1407709425000478,0.6662369649324096,0.4922479283325365,0.8759320397235217,0.8436684601346507,0.3522156875646008,0.5096629026209425,0.617628673161169
0.780547579178366,0.11809196502001346,0.04577115589413733,0.38722209916024575,0.871685935966878,0.1068706583496582,0.6581407558648277,0.9831619691544478
0.8010945322730234,0.4068908194790804,0.0788175484043504,0.6891243130820481,0.4616016718043802,0.7389735611667301,0.7004650193758073,0.29362785301354244
0.2147353045419721,0.6401724045475469,0.7683674936710473,0.7277262170203114,0.18204805588530432,0.5887580306603023,0.43348806200258344,0.39470854753855694
0.737762981686521,0.12033462580111143,0.708257963390504,0.6613244799452456,0.27159338813679035,0.15907631753766743,0.9359498312429684,0.9190070879424963
0.5431790832861118,0.13571601883112983,0.019039389406625196,0.19265404006573722,0.07407116524828977,0.3278637117091113,0.291227967831993,0.5313698132330487
0.49073847103991447,0.8734513349512629,0.4092159421158839,0.6266418715206437,0.41645568343972267,0.18363363634241225,0.6079586649443727,0.6057323651590619
