a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.8736486391884134,0.0743710160348659,0.7895336894309803,0.7343990633584006,0.06828164242438095,0.09619091092502753,0.5622053044406884,0.0
0.816276934708646,0.3656677460582871,0.5800634655215002,0.5363794199026333,0.012124806253972158,0.036000684909075695,0.8142503791683382,1.0
0.5071565868401209,0.7957239690943311,0.507492151817208,0.043081510834921954,0.0024229214203104034,0.03259406414829831,0.15882734584280156,0.6666666666666665
0.866200028402329,0.8636206355143179,0.29941504910927247,0.676715550151854,0.3344385220169238,0.06263626247192877,0.8214072146235677,0.3333333333333335
0.4069133668960855,0.10993393643256733,0.5461795176180326,0.0530983723850838,0.05831686854649051,0.13541347847691423,0.8514496243243501,0.3333333333333335
0.6011542946521615,0.4548465617143326,0.340203597713001,0.7649599975983549,0.14879954124683661,0.025031728594873046,0.731348780893091,0.6666666666666665
0.8502127174428302,0.5838915301426277,0.6492144816599044,0.13700684969203908,0.0009284594759231167,0.0363157808199313,0.712017281397414,1.0
0.4806184107096782,0.9500193010422563,0.8125656932153096,0.705445229982538,0.3144263375641415,0.022537780848772428,0.6349463554857959,0.0
0.29575925225868527,0.6783056285039393,0.9200790468770782,0.9957020559082972,0.14324716306199559,0.10833861300925623,0.38924527243496454,1.0
0.11732262045487735,0.7457682714866603,0.4225797644395062,0.3686595317792688,0.14296599632877638,0.17960332147208818,0.6334000472042091,0.3333333333333335
0.21661376232851098,0.9523274256809868,0.984252629978808,0.3314340323121338,0.06482544251614639,0.001312540237734339,0.37338635163325506,0.6666666666666665
0.45204206744953085,0.2768519500053003,0.24952970908469035,0.10976919189644907,0.012214107743644204,0.005465660677822787,0.6197722132317843,0.3333333333333335
0.6978642248664391,0.7177697595670167,0.9274086845555563,0.23963515007780334,0.08403643810455856,0.07269746493345049,0.6665012049773982,0.3333333333333335
0.8668770839208815,0.15799253159670623,0.8210284294733641,0.24066985885331454,0.3085874742761724,0.2894878653707572,0.2215094551300709,0.6666666666666665
0.8341163975445987,0.02752148616025263,0.3703152174239158,0.8391298039156823,0.07286883745247254,0.28006355961613283,0.6368800346305319,1.0
0.8906430327286837,0.439013706740164,0.0226439700253922,0.4264901457498387,0.31162645143111445,0.4988141113372129,0.7169462051943681,1.0
0.6049986098860106,0.9268880519548056,0.596698912805414,0.5197560328825246,0.00842776497423233,0.10664349000123047,0.6804105707793247,0.6666666666666665
0.3529939455035313,0.192704406037926,0.9805373067456867,0.163664109915292,0.1341874209039741,0.10088301653256222,0.7452496795723258,0.6666666666666665
